External ID	Alma ID	Additional External ID	is_used	Name	Project	Has Additional ID
----------------------------------------------------------------------------------------------------
1866	15495	1836	true	Ap. 763. Binghatti Azure, apt. 1011	Dubai	YES
1856	15463	1826	true	Ap. 755. BOUTIQUE XII, apt. 712	Dubai	YES
1854	15464	1824	true	Ap. 752. Creek Palace, apt. 3007	Dubai	YES
1852	15450	1822	true	Ap. 754. The Radisson Blu Residence, apt. 1	Dubai	YES
1850	15482	1820	true	Ap. 732. Act One Act Two Tower 1, apt. 1905	Dubai	YES
1846	15478	1816	true	Ap. 751. DAMAC HILLS - ARTESIA TOWER C, apt. C-1705	Dubai	YES
1838	15472	1808	true	Ap. 746. Genesis, apt. 418	Dubai	YES
1834	15442	1804	true	Ap. 743. AZIZI RIVIERA AZURE, apt. 505	Dubai	YES
1832	15481	1802	true	Ap. 742. Floarea Residence, apt. 318	Dubai	YES
1830	15473	1800	true	Ap. 741. The Paragon By IGO, apt. 416	Dubai	YES
1826	15441	1796	true	Ap. 739. J ONE - 1, apt. 1910A	Dubai	YES
1824	15447		true	Ap. 738. LIV Marina, apt. 1802	Dubai	NO
1818	15480	1788	true	Ap. 736. Aykon City - Tower B, apt. 4403	Dubai	YES
1816	15437	1786	true	Ap. 735. Sobha Hartland - The Crest Tower B, apt. B3704	Dubai	YES
1808	15438		true	Ap. 530. MeDoRe, apt. 2203	Dubai	NO
1806	15429	1776	true	Ap. 731. 15 Northside - Tower 2, apt. B-503	Dubai	YES
1804	2609	1774	true	Ap. 427. Binghatti Corner, apt. 2508	Dubai	YES
1802	15430	1772	true	Ap. 730. 15 Northside - Tower 1, apt. A-1102	Dubai	YES
1798	15439	1768	true	Ap. 729. Concept 7, apt. 812	Dubai	YES
1794	15449	1764	true	Ap. 727. THE GROVE BY IMAN, apt. 809	Dubai	YES
1792	15474	1762	true	Ap. 689. Peninsula One, apt. 510	Dubai	YES
1790	15475	1760	true	Ap. 688. Peninsula One, apt. 413	Dubai	YES
1786	15476	1756	true	Ap. R3. One Za'abeel Private Homes, apt. 5501	Dubai	YES
1782	15421	1752	true	Ap. 773. The Address Residences Dubai Opera T2, apt. 4501	Dubai	YES
1780	15420	1750	true	Ap. 667. Grand Bleu Tower interiors by Elie Saab Tower 2, apt. 2403	Dubai	YES
1774	15412	1742	true	Ap. 717. Liv Marina, apt. 2004	Dubai	YES
1764	15406	1732	true	Ap. 640. Maktoum City District One Phase III Residences 2, apt. 303	Dubai	YES
1762	15405	1730	true	Ap. 714. Serenity Lakes 5, apt. G01	Dubai	YES
1760	15404	1728	true	Ap. 713. THE POINT TOWER, apt. 203	Dubai	YES
1748	15380	1716	true	Ap. 703. BLVD CENTRAL 2, apt. 1304	Dubai	YES
1744	15378	1712	true	Ap. 686. Azizi Riviera 47, apt. 920	Dubai	YES
1740	15373	1708	true	Ap. 701. Sway Residences, apt. 904	Dubai	YES
1736	15371	1704	true	Ap. 699.  J ONE - 1, apt. 914А	Dubai	YES
1734	15356	1702	true	Ap. 691. MED 85, apt. 214	Dubai	YES
1732	15355	1700	true	Ap. 419. JVT District 9, apt. G8	Dubai	YES
1730	15354	1698	true	Ap. 690. Azizi Berton, apt. 428	Dubai	YES
1728	15352	1696	true	Ap. 698. Binghatti Nova, apt. 1005	Dubai	YES
1720	15345	1688	true	Ap. 696. Ellington Beach House, apt. N-406	Dubai	YES
1716	15343	1684	true	Ap. 685. Grove at Creek Beach Building 5, Apt. 602	Dubai	YES
1710	15340	1678	true	Ap. 637. Burj Royale, apt. 5006	Dubai	YES
1708	15339	1676	true	Ap. 638. Burj Royale, apt. 5005	Dubai	YES
1694	15321	1664	true	Ap. 680. The Address DownTown, apt. 1911	Dubai	YES
1692	15320	1662	true	Ap. 684. LIV Marina, apt. 1707	Dubai	YES
1690	15319	1660	true	Ap. 683. LIV Marina, apt. 902	Dubai	YES
1686	15316	1656	true	Ap. 611. Discovery Gardens MED 92, apt. 308	Dubai	YES
1684	15315	1654	true	Ap. 660. Collective Tower 2, apt. 314	Dubai	YES
1676	15312	1646	true	Ap. 678. Urban Oasis, apt. 415B	Dubai	YES
1668	15305	1638	true	Ap. 642. 52|42, apt. 2903	Dubai	YES
