Apartment ID	Bitrix Additional ID	Alma External ID	Alma Additional ID	Ext ID Match	Add ID Match	Has Add ID	Alma Name	Error
------------------------------------------------------------------------------------------------------------------------
1866	1836	1866	1836	YES	YES	YES	Ap. 763. Binghatti Azure, apt. 1011	
1864	N/A	N/A	N/A	NO	NO	N/A	N/A	Alma API error: HTTP 404
1856	1826	1856	1826	YES	YES	YES	Ap. 755. BOUTIQUE XII, apt. 712	
1854	1824	1854	1824	YES	YES	YES	Ap. 752. Creek Palace, apt. 3007	
1852	1822	1852	1822	YES	YES	YES	Ap. 754. The Radisson Blu Residence, apt. 1	
1850	1820	1850	1820	YES	YES	YES	Ap. 732. Act One Act Two Tower 1, apt. 1905	
1846	1816	1846	1816	YES	YES	YES	Ap. 751. DAMAC HILLS - ARTESIA TOWER C, apt. C-1705	
1838	1808	1838	1808	YES	YES	YES	Ap. 746. Genesis, apt. 418	
1836	N/A	N/A	N/A	NO	NO	N/A	N/A	Alma API error: HTTP 404
1834	1804	1834	1804	YES	YES	YES	Ap. 743. AZIZI RIVIERA AZURE, apt. 505	
1832	1802	1832	1802	YES	YES	YES	Ap. 742. Floarea Residence, apt. 318	
1830	1800	1830	1800	YES	YES	YES	Ap. 741. The Paragon By IGO, apt. 416	
1826	1796	1826	1796	YES	YES	YES	Ap. 739. J ONE - 1, apt. 1910A	
1824	1794	1824	1794	YES	YES	YES	Ap. 738. LIV Marina, apt. 1802	
1818	1788	1818	1788	YES	YES	YES	Ap. 736. Aykon City - Tower B, apt. 4403	
1816	1786	1816	1786	YES	YES	YES	Ap. 735. Sobha Hartland - The Crest Tower B, apt. B3704	
1808	1778	1808	1778	YES	YES	YES	Ap. 530. MeDoRe, apt. 2203	
1806	1776	1806	1776	YES	YES	YES	Ap. 731. 15 Northside - Tower 2, apt. B-503	
1804	1774	1804	1774	YES	YES	YES	Ap. 427. Binghatti Corner, apt. 2508	
1802	1772	1802	1772	YES	YES	YES	Ap. 730. 15 Northside - Tower 1, apt. A-1102	
1798	1768	1798	1768	YES	YES	YES	Ap. 729. Concept 7, apt. 812	
1794	1764	1794	1764	YES	YES	YES	Ap. 727. THE GROVE BY IMAN, apt. 809	
1792	1762	1792	1762	YES	YES	YES	Ap. 689. Peninsula One, apt. 510	
1790	1760	1790	1760	YES	YES	YES	Ap. 688. Peninsula One, apt. 413	
1786	1756	1786	1756	YES	YES	YES	Ap. R3. One Za'abeel Private Homes, apt. 5501	
1782	1752	1782	1752	YES	YES	YES	Ap. 773. The Address Residences Dubai Opera T2, apt. 4501	
1780	1750	1780	1750	YES	YES	YES	Ap. 667. Grand Bleu Tower interiors by Elie Saab Tower 2, apt. 2403	
1774	1742	1774	1742	YES	YES	YES	Ap. 717. Liv Marina, apt. 2004	
1764	1732	1764	1732	YES	YES	YES	Ap. 640. Maktoum City District One Phase III Residences 2, apt. 303	
1762	1730	1762	1730	YES	YES	YES	Ap. 714. Serenity Lakes 5, apt. G01	
1760	1728	1760	1728	YES	YES	YES	Ap. 713. THE POINT TOWER, apt. 203	
1748	1716	1748	1716	YES	YES	YES	Ap. 703. BLVD CENTRAL 2, apt. 1304	
1744	1712	1744	1712	YES	YES	YES	Ap. 686. Azizi Riviera 47, apt. 920	
1740	1708	1740	1708	YES	YES	YES	Ap. 701. Sway Residences, apt. 904	
1736	1704	1736	1704	YES	YES	YES	Ap. 699.  J ONE - 1, apt. 914А	
1734	1702	1734	1702	YES	YES	YES	Ap. 691. MED 85, apt. 214	
1732	1700	1732	1700	YES	YES	YES	Ap. 419. JVT District 9, apt. G8	
1730	1698	1730	1698	YES	YES	YES	Ap. 690. Azizi Berton, apt. 428	
1728	1696	1728	1696	YES	YES	YES	Ap. 698. Binghatti Nova, apt. 1005	
1720	1688	1720	1688	YES	YES	YES	Ap. 696. Ellington Beach House, apt. N-406	
1716	1684	1716	1684	YES	YES	YES	Ap. 685. Grove at Creek Beach Building 5, Apt. 602	
1710	1678	1710	1678	YES	YES	YES	Ap. 637. Burj Royale, apt. 5006	
1708	1676	1708	1676	YES	YES	YES	Ap. 638. Burj Royale, apt. 5005	
1694	1664	1694	1664	YES	YES	YES	Ap. 680. The Address DownTown, apt. 1911	
1692	1662	1692	1662	YES	YES	YES	Ap. 684. LIV Marina, apt. 1707	
1690	1660	1690	1660	YES	YES	YES	Ap. 683. LIV Marina, apt. 902	
1686	1656	1686	1656	YES	YES	YES	Ap. 611. Discovery Gardens MED 92, apt. 308	
1684	1654	1684	1654	YES	YES	YES	Ap. 660. Collective Tower 2, apt. 314	
1676	1646	1676	1646	YES	YES	YES	Ap. 678. Urban Oasis, apt. 415B	
1668	1638	1668	1638	YES	YES	YES	Ap. 642. 52|42, apt. 2903	
1666	1634	1666	1634	YES	YES	YES	Ap. 673. Collective 2.0 Tower B, apt. 1208	
1652	1618	1652	1618	YES	YES	YES	Ap. 648. FIVE AT PALM JUMEIRAH  DUBAI, apt. 41009	
1650	1616	1650	1616	YES	YES	YES	Ap. 644. Palm View, apt. 2303	
1648	1614	1648	1614	YES	YES	YES	Ap. 649. THE 8, apt. 20206	
1644	1610	1644	1610	YES	YES	YES	Ap. 670. Sobha Hartland Waves, apt. 1705	
1640	1606	1640	1606	YES	YES	YES	Ap. 663. Elite Residence, apt. 1512	
1632	1592	1632	1592	YES	YES	YES	Ap. 652. The Community, apt. 2303	
1628	1588	1628	1588	YES	YES	YES	Ap. 653. The Community, apt. 2302	
1626	1586	1626	1586	YES	YES	YES	Ap. 654. The Community, apt. 2003	
1622	1582	1622	1582	YES	YES	YES	Ap. 656. The Paragon by IGO, apt. 409	
1618	1578	1618	1578	YES	YES	YES	Ap. 661. THE RESIDENCE AT MARINA GATE 2, apt. 5208	
1612	1572	1612	1572	YES	YES	YES	Ap. 658. THE POINT TOWER, apt. 201	
1604	1564	1604	1564	YES	YES	YES	Ap. 629.  Sobha Creek Vistas Reserve, apt. B1210	
1598	1556	1598	1556	YES	YES	YES	Ap. 616. One Za’abeel Tower 1, apt. 6003	
1582	1542	1582	1542	YES	YES	YES	Ap. 621. Bloom Towers C, apt. C-0702	
1572	1532	1572	1532	YES	YES	YES	Ap. 609. Central Park , apt. 321	
1564	1524	1564	1524	YES	YES	YES	Ap. 612. Palm View, apt. 1702	
1560	1520	1560	1520	YES	YES	YES	Ap. 607. Peninsula Five, apt. 1004	
1554	1514	1554	1514	YES	YES	YES	Ap. 585. GoldCrest Executive, apt. 3017	
1534	1494	1534	1494	YES	YES	YES	Ap. 589. MJL Jadeel 2, apt. 103	
1522	1478	1522	1478	YES	YES	YES	Ap. 592. DEC Towers T1, apt. 1808	
1510	1452	1510	1452	YES	YES	YES	Ap. 581. PALM VIEWS WEST, apt. 302	
1502	1444	1502	1444	YES	YES	YES	Ap. 571. Me Do Re, apt. 310	
1476	1394	1476	1394	YES	YES	YES	Ap. 580. Trident Grand Residence, apt. 1201	
1474	1390	1474	1390	YES	YES	YES	Ap. 577. J One, apt. 1314A	
1472	1392	1472	1392	YES	YES	YES	Ap. 579. Palace Beach Residence Tower 1, apt. 603	
1468	1386	1468	1386	YES	YES	YES	Ap. 576. La Sirene Building 5, apt. 404	
1452	1370	1452	1370	YES	YES	YES	Ap. 570. Lotus at Creek Beach Building 3, apt. 906	
1434	1352	1434	1352	YES	YES	YES	Ap. 498. Elysee 3, apt. 220	
1414	1324	1414		YES	NO	NO	Ap. 543.  ZADA TOWER, apt. 520	
1408	1320	1408	1320	YES	YES	YES	Ap. 435. Sunrise Bay Tower 2, apt. 404	
1374	1274	1374	1274	YES	YES	YES	Ap. 538. Marina Star, apt. S1101	
1344	1228	1344	1228	YES	YES	YES	AP. 526. Ahad Residences, apt. 1409	
1340	1224	1340	1224	YES	YES	YES	Ap. 508. Concept 7, apt. 704	
1332	1216	1332	1216	YES	YES	YES	Ap. 519. Ocean Heights, apt. 3108	
1318	1202	1318	1202	YES	YES	YES	Ap. 520. MBL Royal, apt. 1903	
1312	1194	1312	1194	YES	YES	YES	Ap. 516. The Address Residences Dubai Opera T1, apt. 1109	
1264	1142	1264	1142	YES	YES	YES	Ap. 500. Urban Oasis, apt. 1812 B	
1246	1120	1246	1120	YES	YES	YES	Ap. 483. Luma 22, apt. 152	
1240	1112	1240	1112	YES	YES	YES	Ap. 482. Time Place, apt. 2609	
1238	1110	1238	1110	YES	YES	YES	Ap. 468. Mag 545, apt. 314	
1228	1100	1228	1100	YES	YES	YES	Ap. 488. The Pinnacle, apt. 603	
1206	1078	1206	1078	YES	YES	YES	Ap. 474. Marina Star, apt. S501	
1204	1076	1204	1076	YES	YES	YES	Ap. 478. Sky Gardens, apt. 709	
1192	1064	1192	1064	YES	YES	YES	Ap. 371. Aycon City Tower B, apt. 4001	
1190	1062	1190	1062	YES	YES	YES	Ap. 456. Time Place, apt. 3107	
1112	998	1112	998	YES	YES	YES	Ap. 463. Jumairah Bay Tower X1,  ap. 2307	
1104	990	1104	990	YES	YES	YES	Ap. 425. Elite Downtown Residence, apt. 412	
1102	988	1102	988	YES	YES	YES	Ap. 423. Cayan Tower, apt. 4106	
1098	984	1098	984	YES	YES	YES	Ap. 422. Silverene Tower B, apt. 1411	
